prod_date,type,monthly_oil,monthly_gas,monthly_oil_50km,monthly_gas_50km
2023-05-01,Conventional,1086253 (1.37%),7385392 (2.1%),275499 (0.77%),1812404 (0.94%)
2023-05-01,Unconventional,77964569 (98.63%),345126754 (97.9%),35621394 (99.23%),191706693 (99.06%)
2023-05-01,Total,79050822,352512146,35896893,193519097
2023-06-01,Conventional,1074490 (1.46%),7772226 (2.36%),250240 (0.75%),1836269 (1.02%)
2023-06-01,Unconventional,72396222 (98.54%),321619614 (97.64%),33139553 (99.25%),178654053 (98.98%)
2023-06-01,Total,73470712,329391840,33389793,180490322
2023-07-01,Conventional,1034194 (1.35%),7571111 (2.16%),239318 (0.69%),1849121 (0.97%)
2023-07-01,Unconventional,75703457 (98.65%),342556301 (97.84%),34683147 (99.31%),189716207 (99.03%)
2023-07-01,Total,76737651,350127412,34922465,191565328
2023-08-01,Conventional,1010779 (1.29%),7228316 (2.02%),245450 (0.67%),1745762 (0.89%)
2023-08-01,Unconventional,77620599 (98.71%),350879612 (97.98%),36262358 (99.33%),194324238 (99.11%)
2023-08-01,Total,78631378,358107928,36507808,196070000
2023-09-01,Conventional,920731 (1.2%),7023517 (1.98%),234785 (0.65%),1816228 (0.94%)
2023-09-01,Unconventional,76054804 (98.8%),346916009 (98.02%),35809403 (99.35%),191316607 (99.06%)
2023-09-01,Total,76975535,353939526,36044188,193132835
2023-10-01,Conventional,997621 (1.26%),7334764 (2.03%),227870 (0.61%),1825447 (0.92%)
2023-10-01,Unconventional,78013492 (98.74%),353109559 (97.97%),36983515 (99.39%),196606359 (99.08%)
2023-10-01,Total,79011113,360444323,37211385,198431806
2023-11-01,Conventional,989874 (1.23%),7351557 (2.04%),222423 (0.59%),1827204 (0.93%)
2023-11-01,Unconventional,79398671 (98.77%),352739834 (97.96%),37717325 (99.41%),194656863 (99.07%)
2023-11-01,Total,80388545,360091391,37939748,196484067
2023-12-01,Conventional,1087304 (1.27%),7556801 (1.96%),236870 (0.57%),1884055 (0.89%)
2023-12-01,Unconventional,84731165 (98.73%),378608943 (98.04%),40983444 (99.43%),209790538 (99.11%)
2023-12-01,Total,85818469,386165744,41220314,211674593
2024-01-01,Conventional,1030359 (1.26%),7129501 (1.93%),235152 (0.61%),1838661 (0.9%)
2024-01-01,Unconventional,80673381 (98.74%),362385065 (98.07%),38351712 (99.39%),201807671 (99.1%)
2024-01-01,Total,81703740,369514566,38586864,203646332
2024-02-01,Conventional,1013510 (1.27%),6746526 (1.87%),232964 (0.61%),1603563 (0.79%)
2024-02-01,Unconventional,79067505 (98.73%),353291222 (98.13%),38202530 (99.39%),200449830 (99.21%)
2024-02-01,Total,80081015,360037748,38435494,202053393
2024-03-01,Conventional,1066365 (1.22%),7291296 (1.84%),246111 (0.59%),1652352 (0.76%)
2024-03-01,Unconventional,86039625 (98.78%),388299262 (98.16%),41149736 (99.41%),215646898 (99.24%)
2024-03-01,Total,87105990,395590558,41395847,217299250
2024-04-01,Conventional,986761 (1.18%),6828811 (1.79%),222059 (0.54%),1380183 (0.66%)
2024-04-01,Unconventional,82826523 (98.82%),375080628 (98.21%),40594846 (99.46%),208215855 (99.34%)
2024-04-01,Total,83813284,381909439,40816905,209596038
2024-05-01,Conventional,992738 (1.14%),6958084 (1.76%),224793 (0.54%),1377788 (0.64%)
2024-05-01,Unconventional,85814979 (98.86%),389363178 (98.24%),41719464 (99.46%),215396314 (99.36%)
2024-05-01,Total,86807717,396321262,41944257,216774102
2024-06-01,Conventional,922402 (1.09%),6441809 (1.65%),202277 (0.49%),1346934 (0.62%)
2024-06-01,Unconventional,83489794 (98.91%),385114782 (98.35%),41187053 (99.51%),217084951 (99.38%)
2024-06-01,Total,84412196,391556591,41389330,218431885
